5565;ALPES;251-1;O
5564;1 DE MAIO;250-2;O
5563;1 DE MAIO;250-1;O
5562;CORUJAO - ASSIS BRASIL / PROTASIO;M52-2;O
5561;PADRE REUS / CORONEL MASSOT;1871-1;O
5560;PADRE REUS;187-2;O
5559;PADRE REUS;187-1;O
5558;JARDIM DAS PALMEIRAS;170-1;O
5557;COHAB;165-2;O
5556;COHAB;165-1;O
5555;ICARAI(ALTO TAQUARI);1491-2;O
5554;ICARAI(ALTO TAQUARI);1491-1;O
5553;ICARAI;149-2;O
5552;ICARAI;149-1;O
5551;EVENTUAL SANTA MARIA;E44-1;O
5550;PASSO DAS PEDRAS/CAIR菤 VIA SERT菗RIO;7561-2;O
5549;PASSO DAS PEDRAS/CAIR菤 VIA SERT菗RIO;7561-1;O
5548;IGUATEMI/VILA JARDIM(UNIBUS);6206-2;O
5547;IGUATEMI/VILA JARDIM(UNIBUS);6206-1;O
5546;CRISTOVAO COLOMBO;TR61-2;O
5545;CRISTOVAO COLOMBO;TR61-1;O
5544;NILO/PRAIA DE BELAS;T7-2;O
5543;NILO/PRAIA DE BELAS;T7-1;O
5542;TRANSVERSAL 5/DOMINGOS;T52-2;O
5541;TRANSVERSAL 5/DOMINGOS;T52-1;O
5540;TRANSVERSAL 5/SABADOS/FERIADOS;T51-2;O
5539;TRANSVERSAL 5/SABADOS/FERIADOS;T51-1;O
5538;TRANSVERSAL 5;T5-2;O
5537;TRANSVERSAL 5;T5-1;O
5536;TRANSVERSAL 4;T4-1;O
5535;TRANSVERSAL 4;T4-2;O
5534;TRANSVERSAL 3/NAVEGANTES;T39-2;O
5533;TRANSVERSAL 3/NAVEGANTES;T39-1;O
5532;TRANSVERSAL 3/NAVEGANTES/DI莵RIO DE NOT菎CIAS;T329-2;O
5531;TRANSVERSAL 3/NAVEGANTES/DI莵RIO DE NOT菎CIAS;T329-1;O
5530;TRANSVERSAL 3/NITEROI;T31-2;O
5529;TRANSVERSAL 3;T3-2;O
5528;TRANSVERSAL 3;T3-1;O
5527;TRANSVERSAL 2/VIA P.AZURENHA/POST莾O/NAVEGANTES;T2A9-2;O
5526;TRANSVERSAL 2/VIA P.AZURENHA/POST莾O/NAVEGANTES;T2A9-1;O
5525;TRANSVERSAL 2/A. J. RENNER;T2A1-2;O
5524;TRANSVERSAL 2/A. J. RENNER;T2A1-1;O
5523;TRANSVERSAL 2 (VIA PAULINO AZURENHA / POSTAO);T2A-2;O
5522;TRANSVERSAL 2 (VIA PAULINO AZURENHA / POSTAO);T2A-1;O
5521;TRANSVERSAL 2/NAVEGANTES;T29-2;O
5520;TRANSVERSAL 2/NAVEGANTES;T29-1;O
5519;TRANSVERSAL 2;T2-2;O
5518;TRANSVERSAL 2;T2-1;O
5517;T1 DIRETA;T1D-2;O
5516;T1 DIRETA;T1D-1;O
5515;3鼎 PERIMETRAL;T11-2;O
5514;3鼎 PERIMETRAL;T11-1;O
5513;TRANSVERSAL 1;T1-2;O
5512;TRANSVERSAL 1;T1-1;O
5511;CORUJAO - ASSIS BRASIL / PROTASIO;M52-1;O
5510;ITU COINMA ESPECIAL;E65-1;O
5509;EVENTUAL FAPA CONCURSOS;E56-2;O
