2696;2696;-51.1781;-30.0628;N
5601;5601;-51.1815;-30.0646;N
2025;2025;-51.1859;-30.0632;N
2023;2023;-51.1854;-30.0634;N
5658;5658;-51.1882;-30.0621;N
5600;5600;-51.1885;-30.0619;N
2014;2014;-51.1895;-30.0614;N
2022;2022;-51.1876;-30.0623;N
5466;5466;-51.1903;-30.0610;N
1978;1978;-51.1942;-30.0586;N
1979;1979;-51.1929;-30.0594;N
1983;1983;-51.1974;-30.0565;N
1854;1854;-51.1993;-30.0551;N
1981;1981;-51.2002;-30.0543;N
5595;5595;-51.2031;-30.0534;N
1845;1845;-51.2046;-30.0528;N
5594;5594;-51.2047;-30.0528;N
1984;1984;-51.1965;-30.0572;N
5539;5539;-51.2071;-30.0519;N
5538;5538;-51.2085;-30.0514;N
1802;1802;-51.2097;-30.0511;N
1844;1844;-51.2056;-30.0524;N
5340;5340;-51.2114;-30.0510;N
6559;6559;-51.1237;-29.9841;N
6558;6558;-51.1235;-29.9842;N
6557;6557;-51.1250;-29.9808;N
6556;6556;-51.1285;-29.9932;N
5753;5753;-51.0680;-30.1800;N
4390;4390;-51.0733;-30.1812;N
4388;4388;-51.0783;-30.1828;N
4387;4387;-51.0785;-30.1828;N
4386;4386;-51.0823;-30.1879;N
4382;4382;-51.0865;-30.1901;N
4379;4379;-51.0875;-30.1906;N
4322;4322;-51.0981;-30.2184;N
4323;4323;-51.0977;-30.2177;N
4366;4366;-51.0909;-30.2079;N
4781;4781;-51.0853;-30.0466;N
5225;5225;-51.0929;-29.9872;N
5878;5878;-51.1004;-30.0148;N
2791;2791;-51.1647;-30.0555;N
2795;2795;-51.1611;-30.0560;N
4367;4367;-51.0988;-30.1951;N
4370;4370;-51.0945;-30.1903;N
6555;6555;-51.1023;-30.1983;N
4362;4362;-51.1046;-30.1991;N
6554;6554;-51.1032;-30.1988;N
4360;4360;-51.1083;-30.2006;N
4359;4359;-51.1097;-30.2011;N
4356;4356;-51.1124;-30.2027;N
1567;1567;-51.2290;-30.0376;N
1568;1568;-51.2326;-30.0367;N
1518;1518;-51.2344;-30.0363;N
1513;1513;-51.2363;-30.0360;N
1514;1514;-51.2366;-30.0360;N
1508;1508;-51.2381;-30.0363;N
1507;1507;-51.2389;-30.0364;N
1510;1510;-51.2377;-30.0363;N
1503;1503;-51.2397;-30.0360;N
1364;1364;-51.2309;-30.0723;N
1365;1365;-51.2301;-30.0722;N
1361;1361;-51.2328;-30.0727;N
1371;1371;-51.2282;-30.0713;N
1366;1366;-51.2293;-30.0717;N
1382;1382;-51.2249;-30.0695;N
1411;1411;-51.2244;-30.0680;N
1410;1410;-51.2243;-30.0680;N
1412;1412;-51.2241;-30.0667;N
1413;1413;-51.2239;-30.0665;N
1463;1463;-51.2236;-30.0654;N
1462;1462;-51.2237;-30.0652;N
1383;1383;-51.2247;-30.0695;N
1465;1465;-51.2233;-30.0641;N
1464;1464;-51.2233;-30.0644;N
1477;1477;-51.2204;-30.0616;N
4031;4031;-51.1430;-30.0079;N
1466;1466;-51.2210;-30.0617;N
4032;4032;-51.1428;-30.0071;N
4058;4058;-51.1427;-30.0057;N
6553;6553;-51.1428;-30.0064;N
4062;4062;-51.1424;-30.0030;N
4063;4063;-51.1425;-30.0027;N
4065;4065;-51.1425;-30.0008;N
4064;4064;-51.1426;-30.0010;N
4059;4059;-51.1426;-30.0047;N
6552;6552;-51.1426;-29.9981;N
3466;3466;-51.1281;-30.0238;N
4096;4096;-51.1427;-29.9981;N
3454;3454;-51.1287;-30.0258;N
3453;3453;-51.1289;-30.0260;N
3452;3452;-51.1296;-30.0281;N
3465;3465;-51.1281;-30.0240;N
3446;3446;-51.1301;-30.0296;N
3451;3451;-51.1295;-30.0282;N
3385;3385;-51.1324;-30.0397;N
6551;6551;-51.1325;-30.0398;N
3389;3389;-51.1321;-30.0369;N
3388;3388;-51.1322;-30.0369;N
3394;3394;-51.1320;-30.0348;N
3395;3395;-51.1319;-30.0348;N
3396;3396;-51.1320;-30.0336;N
3397;3397;-51.1319;-30.0339;N
3425;3425;-51.1224;-30.0371;N
3476;3476;-51.1276;-30.0179;N
3477;3477;-51.1275;-30.0168;N
3428;3428;-51.1240;-30.0365;N
3419;3419;-51.1252;-30.0395;N
4732;4732;-51.1097;-30.0189;N
2609;2609;-51.1241;-30.0881;N
2610;2610;-51.1225;-30.0881;N
1601;1601;-51.2212;-30.0419;N
5948;5948;-51.1789;-30.1482;N
